#TYPE System.Diagnostics.Process
"Name";"SI";"Handles";"VM";"WS";"PM";"NPM";"Path";"Company";"CPU";"FileVersion";"ProductVersion";"Description";"Product";"__NounName";"BasePriority";"ExitCode";"HasExited";"ExitTime";"Handle";"SafeHandle";"HandleCount";"Id";"MachineName";"MainWindowHandle";"MainWindowTitle";"MainModule";"MaxWorkingSet";"MinWorkingSet";"Modules";"NonpagedSystemMemorySize";"NonpagedSystemMemorySize64";"PagedMemorySize";"PagedMemorySize64";"PagedSystemMemorySize";"PagedSystemMemorySize64";"PeakPagedMemorySize";"PeakPagedMemorySize64";"PeakWorkingSet";"PeakWorkingSet64";"PeakVirtualMemorySize";"PeakVirtualMemorySize64";"PriorityBoostEnabled";"PriorityClass";"PrivateMemorySize";"PrivateMemorySize64";"PrivilegedProcessorTime";"ProcessName";"ProcessorAffinity";"Responding";"SessionId";"StartInfo";"StartTime";"SynchronizingObject";"Threads";"TotalProcessorTime";"UserProcessorTime";"VirtualMemorySize";"VirtualMemorySize64";"EnableRaisingEvents";"StandardInput";"StandardOutput";"StandardError";"WorkingSet";"WorkingSet64";"Site";"Container"
"Code";"4";"510";"2244870955008";"231735296";"196710400";"24384";"C:\Users\Juan Ra\AppData\Local\Programs\Microsoft VS Code\Code.exe";"Microsoft Corporation";"237,609375";"1.73.1";"1.73.1";"Visual Studio Code";"Visual Studio Code";"Process";"8";;"False";;"3304";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"510";"11348";".";"0";"";"System.Diagnostics.ProcessModule (Code.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"24384";"24384";"196710400";"196710400";"712248";"712248";"259956736";"259956736";"303435776";"303435776";"-1376182272";"2244891713536";"True";"Normal";"196710400";"196710400";"00:00:15.5000000";"Code";"255";"True";"4";"System.Diagnostics.ProcessStartInfo";"14/11/2022 8:22:38";;"System.Diagnostics.ProcessThreadCollection";"00:03:57.6250000";"00:03:42.1250000";"-1396940800";"2244870955008";"False";;;;"231735296";"231735296";;
"powershell";"4";"1442";"2204140298240";"266715136";"265687040";"78344";"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe";"Microsoft Corporation";"234,984375";"10.0.19041.2130 (WinBuild.160101.0800)";"10.0.19041.2130";"Windows PowerShell";"Sistema operativo Microsoft? Windows?";"Process";"8";;"False";;"1416";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"1442";"16220";".";"0";"";"System.Diagnostics.ProcessModule (powershell.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"78344";"78344";"265687040";"265687040";"593600";"593600";"278777856";"278777856";"268791808";"268791808";"971960320";"2204290183168";"True";"Normal";"265687040";"265687040";"00:03:10.0937500";"powershell";"255";"True";"4";"System.Diagnostics.ProcessStartInfo";"14/11/2022 8:22:52";;"System.Diagnostics.ProcessThreadCollection";"00:03:55";"00:00:44.9062500";"822075392";"2204140298240";"False";;;;"266715136";"266715136";;
"Code";"4";"744";"2221413175296";"131813376";"229883904";"33552";"C:\Users\Juan Ra\AppData\Local\Programs\Microsoft VS Code\Code.exe";"Microsoft Corporation";"87,578125";"1.73.1";"1.73.1";"Visual Studio Code";"Visual Studio Code";"Process";"10";;"False";;"4128";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"744";"8300";".";"0";"";"System.Diagnostics.ProcessModule (Code.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"33552";"33552";"229883904";"229883904";"829992";"829992";"252571648";"252571648";"149803008";"149803008";"929153024";"2221427245056";"True";"AboveNormal";"229883904";"229883904";"00:00:18.8750000";"Code";"255";"True";"4";"System.Diagnostics.ProcessStartInfo";"14/11/2022 8:22:38";;"System.Diagnostics.ProcessThreadCollection";"00:01:27.5781250";"00:01:08.7031250";"915083264";"2221413175296";"False";;;;"131813376";"131813376";;
"explorer";"4";"2733";"2204188381184";"170168320";"157929472";"114048";"C:\Windows\Explorer.EXE";"Microsoft Corporation";"59,765625";"10.0.19041.2130 (WinBuild.160101.0800)";"10.0.19041.2130";"Explorador de Windows";"Sistema operativo Microsoft? Windows?";"Process";"8";;"False";;"3996";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"2733";"10820";".";"65760";"";"System.Diagnostics.ProcessModule (Explorer.EXE)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"114048";"114048";"157929472";"157929472";"1359152";"1359152";"181956608";"181956608";"182697984";"182697984";"1103273984";"2204421496832";"True";"Normal";"157929472";"157929472";"00:00:36.4687500";"explorer";"255";"True";"4";"System.Diagnostics.ProcessStartInfo";"14/11/2022 8:14:01";;"System.Diagnostics.ProcessThreadCollection";"00:00:59.7656250";"00:00:23.2968750";"870158336";"2204188381184";"False";;;;"170168320";"170168320";;
"chrome";"4";"1838";"2307289907200";"179064832";"115503104";"59968";"C:\Program Files\Google\Chrome\Application\chrome.exe";"Google LLC";"50,828125";"107.0.5304.107";"107.0.5304.107";"Google Chrome";"Google Chrome";"Process";"8";;"False";;"6564";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"1838";"11340";".";"66976";"Grado Superior | Trello - Google Chrome";"System.Diagnostics.ProcessModule (chrome.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"59968";"59968";"115503104";"115503104";"1314304";"1314304";"197623808";"197623808";"291360768";"291360768";"1031168000";"2307428605952";"True";"Normal";"115503104";"115503104";"00:00:26.3593750";"chrome";"255";"True";"4";"System.Diagnostics.ProcessStartInfo";"14/11/2022 8:15:10";;"System.Diagnostics.ProcessThreadCollection";"00:00:50.8281250";"00:00:24.4687500";"892469248";"2307289907200";"False";;;;"179064832";"179064832";;
"Razer Central";"4";"1294";"684703744";"124796928";"76734464";"83744";"C:\Program Files (x86)\Razer\Razer Services\Razer Central\Razer Central.exe";"Razer Inc.";"42,5";"7.8.0.381";"7.8.0.381";"Razer Central";"Razer Central";"Process";"8";;"False";;"6768";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"1294";"20008";".";"0";"";"System.Diagnostics.ProcessModule (Razer Central.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"83744";"83744";"76734464";"76734464";"1177096";"1177096";"90169344";"90169344";"155881472";"155881472";"825913344";"825913344";"True";"Normal";"76734464";"76734464";"00:00:23.8906250";"Razer Central";"255";"True";"4";"System.Diagnostics.ProcessStartInfo";"14/11/2022 8:14:24";;"System.Diagnostics.ProcessThreadCollection";"00:00:42.5000000";"00:00:18.6093750";"684703744";"684703744";"False";;;;"124796928";"124796928";;
"Code";"4";"957";"2225620226048";"91996160";"40472576";"39112";"C:\Users\Juan Ra\AppData\Local\Programs\Microsoft VS Code\Code.exe";"Microsoft Corporation";"40,9375";"1.73.1";"1.73.1";"Visual Studio Code";"Visual Studio Code";"Process";"8";;"False";;"1420";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"957";"7220";".";"132004";"script_16.ps1 - scripts-powershell-aso - Visual Studio Code";"System.Diagnostics.ProcessModule (Code.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"39112";"39112";"40472576";"40472576";"823480";"823480";"73547776";"73547776";"122433536";"122433536";"916291584";"2225709350912";"True";"Normal";"40472576";"40472576";"00:00:20.0312500";"Code";"255";"True";"4";"System.Diagnostics.ProcessStartInfo";"14/11/2022 8:22:37";;"System.Diagnostics.ProcessThreadCollection";"00:00:40.9375000";"00:00:20.9062500";"827166720";"2225620226048";"False";;;;"91996160";"91996160";;
"chrome";"4";"385";"3486403813376";"168120320";"122724352";"20512";"C:\Program Files\Google\Chrome\Application\chrome.exe";"Google LLC";"38,390625";"107.0.5304.107";"107.0.5304.107";"Google Chrome";"Google Chrome";"Process";"4";;"False";;"3812";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"385";"24800";".";"0";"";"System.Diagnostics.ProcessModule (chrome.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"20512";"20512";"122724352";"122724352";"609632";"609632";"178872320";"178872320";"239169536";"239169536";"393388032";"3487906832384";"True";"Idle";"122724352";"122724352";"00:00:03.9531250";"chrome";"255";"True";"4";"System.Diagnostics.ProcessStartInfo";"14/11/2022 8:17:46";;"System.Diagnostics.ProcessThreadCollection";"00:00:38.3906250";"00:00:34.4375000";"-1109630976";"3486403813376";"False";;;;"168120320";"168120320";;
"Code";"4";"416";"2234052902912";"105005056";"62558208";"19784";"C:\Users\Juan Ra\AppData\Local\Programs\Microsoft VS Code\Code.exe";"Microsoft Corporation";"33,59375";"1.73.1";"1.73.1";"Visual Studio Code";"Visual Studio Code";"Process";"8";;"False";;"3232";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"416";"21656";".";"0";"";"System.Diagnostics.ProcessModule (Code.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"19784";"19784";"62558208";"62558208";"513536";"513536";"146161664";"146161664";"194060288";"194060288";"700547072";"2234083540992";"True";"Normal";"62558208";"62558208";"00:00:08.3906250";"Code";"255";"True";"4";"System.Diagnostics.ProcessStartInfo";"14/11/2022 8:22:40";;"System.Diagnostics.ProcessThreadCollection";"00:00:33.5937500";"00:00:25.2031250";"669908992";"2234052902912";"False";;;;"105005056";"105005056";;
"SearchApp";"4";"1901";"2238789332992";"98746368";"188289024";"132840";"C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe";"Microsoft Corporation";"29,71875";"10.0.19041.2193 (WinBuild.160101.0800)";"10.0.19041.2193";"Search application";"Microsoft? Windows? Operating System";"Process";"8";;"False";;"6556";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"1901";"20512";".";"0";"";"System.Diagnostics.ProcessModule (SearchApp.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"132840";"132840";"188289024";"188289024";"998792";"998792";"209784832";"209784832";"274313216";"274313216";"1147973632";"2238825934848";"True";"Normal";"188289024";"188289024";"00:00:07.5468750";"SearchApp";"255";"True";"4";"System.Diagnostics.ProcessStartInfo";"14/11/2022 8:14:08";;"System.Diagnostics.ProcessThreadCollection";"00:00:29.7187500";"00:00:22.1718750";"1111371776";"2238789332992";"False";;;;"98746368";"98746368";;
