#TYPE System.Diagnostics.Process
"Name";"SI";"Handles";"VM";"WS";"PM";"NPM";"Path";"Company";"CPU";"FileVersion";"ProductVersion";"Description";"Product";"__NounName";"BasePriority";"ExitCode";"HasExited";"ExitTime";"Handle";"SafeHandle";"HandleCount";"Id";"MachineName";"MainWindowHandle";"MainWindowTitle";"MainModule";"MaxWorkingSet";"MinWorkingSet";"Modules";"NonpagedSystemMemorySize";"NonpagedSystemMemorySize64";"PagedMemorySize";"PagedMemorySize64";"PagedSystemMemorySize";"PagedSystemMemorySize64";"PeakPagedMemorySize";"PeakPagedMemorySize64";"PeakWorkingSet";"PeakWorkingSet64";"PeakVirtualMemorySize";"PeakVirtualMemorySize64";"PriorityBoostEnabled";"PriorityClass";"PrivateMemorySize";"PrivateMemorySize64";"PrivilegedProcessorTime";"ProcessName";"ProcessorAffinity";"Responding";"SessionId";"StartInfo";"StartTime";"SynchronizingObject";"Threads";"TotalProcessorTime";"UserProcessorTime";"VirtualMemorySize";"VirtualMemorySize64";"EnableRaisingEvents";"StandardInput";"StandardOutput";"StandardError";"WorkingSet";"WorkingSet64";"Site";"Container"
"Code";"4";"506";"2244849348608";"248475648";"204034048";"23432";"C:\Users\Juan Ra\AppData\Local\Programs\Microsoft VS Code\Code.exe";"Microsoft Corporation";"313,171875";"1.73.1";"1.73.1";"Visual Studio Code";"Visual Studio Code";"Process";"8";;"False";;"3896";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"506";"65200";".";"0";"";"System.Diagnostics.ProcessModule (Code.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"23432";"23432";"204034048";"204034048";"702816";"702816";"257114112";"257114112";"299065344";"299065344";"-1377189888";"2244890705920";"True";"Normal";"204034048";"204034048";"00:00:17.0937500";"Code";"255";"True";"4";"System.Diagnostics.ProcessStartInfo";"15/11/2022 17:03:37";;"System.Diagnostics.ProcessThreadCollection";"00:05:13.1718750";"00:04:56.0781250";"-1418547200";"2244849348608";"False";;;;"248475648";"248475648";;
"audiodg";"0";"203";"2203448045568";"22253568";"14204928";"14288";;;"88";;;;;"Process";"8";;;;;;"203";"4440";".";"0";"";;;;;"14288";"14288";"14204928";"14204928";"122328";"122328";"33017856";"33017856";"41041920";"41041920";"149684224";"2203467907072";;;"14204928";"14204928";"00:00:13.8593750";"audiodg";;"True";"0";"System.Diagnostics.ProcessStartInfo";"15/11/2022 15:49:28";;"System.Diagnostics.ProcessThreadCollection";"00:01:28";"00:01:14.1406250";"129822720";"2203448045568";"False";;;;"22253568";"22253568";;
"powershell";"4";"1718";"2204124975104";"270000128";"269529088";"76448";"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe";"Microsoft Corporation";"83,109375";"10.0.19041.2130 (WinBuild.160101.0800)";"10.0.19041.2130";"Windows PowerShell";"Sistema operativo Microsoft? Windows?";"Process";"8";;"False";;"3968";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"1718";"51372";".";"0";"";"System.Diagnostics.ProcessModule (powershell.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"76448";"76448";"269529088";"269529088";"591800";"591800";"302714880";"302714880";"302997504";"302997504";"822738944";"2204140961792";"True";"Normal";"269529088";"269529088";"00:00:13.6875000";"powershell";"255";"True";"4";"System.Diagnostics.ProcessStartInfo";"15/11/2022 17:03:43";;"System.Diagnostics.ProcessThreadCollection";"00:01:23.1093750";"00:01:09.4218750";"806752256";"2204124975104";"False";;;;"270000128";"270000128";;
"wmplayer";"4";"997";"297996288";"72560640";"43036672";"67960";"C:\Program Files (x86)\Windows Media Player\wmplayer.exe";"Microsoft Corporation";"79,046875";"12.0.19041.1 (WinBuild.160101.0800)";"12.0.19041.1";"Reproductor de Windows Media";"Sistema operativo Microsoft? Windows?";"Process";"8";;"False";;"4000";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"997";"21644";".";"66734";"Reproductor de Windows Media";"System.Diagnostics.ProcessModule (wmplayer.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"67960";"67960";"43036672";"43036672";"452432";"452432";"52666368";"52666368";"81850368";"81850368";"327610368";"327610368";"True";"Normal";"43036672";"43036672";"00:00:19.3437500";"wmplayer";"255";"True";"4";"System.Diagnostics.ProcessStartInfo";"15/11/2022 17:02:52";;"System.Diagnostics.ProcessThreadCollection";"00:01:19.0468750";"00:00:59.7031250";"297996288";"297996288";"False";;;;"72560640";"72560640";;
"Code";"4";"736";"2221432426496";"152457216";"248233984";"32328";"C:\Users\Juan Ra\AppData\Local\Programs\Microsoft VS Code\Code.exe";"Microsoft Corporation";"76,34375";"1.73.1";"1.73.1";"Visual Studio Code";"Visual Studio Code";"Process";"10";;"False";;"4032";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"736";"38304";".";"0";"";"System.Diagnostics.ProcessModule (Code.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"32328";"32328";"248233984";"248233984";"822256";"822256";"281735168";"281735168";"163045376";"163045376";"961531904";"2221459623936";"True";"AboveNormal";"248233984";"248233984";"00:00:15.1562500";"Code";"255";"True";"4";"System.Diagnostics.ProcessStartInfo";"15/11/2022 17:03:36";;"System.Diagnostics.ProcessThreadCollection";"00:01:16.3437500";"00:01:01.1875000";"934334464";"2221432426496";"False";;;;"152457216";"152457216";;
"firefox";"4";"1702";"2206607052800";"320311296";"251760640";"123328";"C:\Program Files\Mozilla Firefox\firefox.exe";"Mozilla Corporation";"61,515625";"106.0.5";"106.0.5";"Firefox";"Firefox";"Process";"8";;"False";;"4064";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"1702";"57236";".";"131192";"usuarios conectados en el sistema powershell - Buscar con Google ? Mozilla Firefox";"System.Diagnostics.ProcessModule (firefox.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"123328";"123328";"251760640";"251760640";"996696";"996696";"480555008";"480555008";"559767552";"559767552";"-1514651648";"2223278407680";"True";"Normal";"251760640";"251760640";"00:00:22.8906250";"firefox";"255";"True";"4";"System.Diagnostics.ProcessStartInfo";"15/11/2022 17:06:36";;"System.Diagnostics.ProcessThreadCollection";"00:01:01.5156250";"00:00:38.6250000";"-1006137344";"2206607052800";"False";;;;"320311296";"320311296";;
"Code";"4";"1084";"2225667203072";"106074112";"44716032";"42304";"C:\Users\Juan Ra\AppData\Local\Programs\Microsoft VS Code\Code.exe";"Microsoft Corporation";"50,203125";"1.73.1";"1.73.1";"Visual Studio Code";"Visual Studio Code";"Process";"8";;"False";;"2980";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"1084";"21960";".";"66960";"script_17.ps1 - scripts-powershell-aso - Visual Studio Code";"System.Diagnostics.ProcessModule (Code.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"42304";"42304";"44716032";"44716032";"899400";"899400";"76603392";"76603392";"126889984";"126889984";"903639040";"2225696698368";"True";"Normal";"44716032";"44716032";"00:00:26.1406250";"Code";"255";"True";"4";"System.Diagnostics.ProcessStartInfo";"15/11/2022 17:03:36";;"System.Diagnostics.ProcessThreadCollection";"00:00:50.2031250";"00:00:24.0625000";"874143744";"2225667203072";"False";;;;"106074112";"106074112";;
"explorer";"4";"2791";"2204441169920";"181055488";"153747456";"119832";"C:\Windows\Explorer.EXE";"Microsoft Corporation";"37,46875";"10.0.19041.2130 (WinBuild.160101.0800)";"10.0.19041.2130";"Explorador de Windows";"Sistema operativo Microsoft? Windows?";"Process";"8";;"False";;"2572";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"2791";"24148";".";"65730";"";"System.Diagnostics.ProcessModule (Explorer.EXE)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"119832";"119832";"153747456";"153747456";"1317072";"1317072";"845832192";"845832192";"225714176";"225714176";"1505927168";"2204824150016";"True";"Normal";"153747456";"153747456";"00:00:21.2500000";"explorer";"255";"True";"4";"System.Diagnostics.ProcessStartInfo";"15/11/2022 17:02:14";;"System.Diagnostics.ProcessThreadCollection";"00:00:37.4687500";"00:00:16.2187500";"1122947072";"2204441169920";"False";;;;"181055488";"181055488";;
"Razer Central";"4";"1380";"723148800";"151187456";"98934784";"83632";"C:\Program Files (x86)\Razer\Razer Services\Razer Central\Razer Central.exe";"Razer Inc.";"31,359375";"7.8.0.381";"7.8.0.381";"Razer Central";"Razer Central";"Process";"8";;"False";;"2120";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"1380";"8372";".";"0";"";"System.Diagnostics.ProcessModule (Razer Central.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"83632";"83632";"98934784";"98934784";"1249680";"1249680";"100044800";"100044800";"160583680";"160583680";"821981184";"821981184";"True";"Normal";"98934784";"98934784";"00:00:18.5937500";"Razer Central";"255";"True";"4";"System.Diagnostics.ProcessStartInfo";"15/11/2022 17:02:32";;"System.Diagnostics.ProcessThreadCollection";"00:00:31.3593750";"00:00:12.7656250";"723148800";"723148800";"False";;;;"151187456";"151187456";;
"Code";"4";"417";"2234052968448";"113287168";"62832640";"19888";"C:\Users\Juan Ra\AppData\Local\Programs\Microsoft VS Code\Code.exe";"Microsoft Corporation";"30,5";"1.73.1";"1.73.1";"Visual Studio Code";"Visual Studio Code";"Process";"8";;"False";;"2876";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"417";"5476";".";"0";"";"System.Diagnostics.ProcessModule (Code.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"19888";"19888";"62832640";"62832640";"517760";"517760";"160010240";"160010240";"207630336";"207630336";"700547072";"2234083540992";"True";"Normal";"62832640";"62832640";"00:00:07.0468750";"Code";"255";"True";"4";"System.Diagnostics.ProcessStartInfo";"15/11/2022 17:03:39";;"System.Diagnostics.ProcessThreadCollection";"00:00:30.5000000";"00:00:23.4531250";"669974528";"2234052968448";"False";;;;"113287168";"113287168";;
